FID,autonomia,carretera,causa,fechahora_,hacia,matricula,nivel,pk_final,pk_inicial,poblacion,provincia,ref_incide,sentido,tipo,tipolocali,version_in,x,xml_fragme,xml_id,xml_matche,xml_parent,xml_pare_1,y,X1,Y1,actualizad
29,CATALUÑA,L-911,HIELO,2021/01/14 18:43:00,Ambos,L,VERDE,11,0,BENAVENT DE LA CONCA,LLEIDA,OL101138080,Ambos sentidos,METEOROLOGICA,0,2,42.05508,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa>HIELO</causa>
<poblacion>BENAVENT DE LA CONCA</poblacion>
<fechahora_ini>2021",id-incidencia-1.29,incidencia, , ,1.08945,1.08945,42.05508,2021/01/19 23:31:00
30,CATALUÑA,LV-5134,HIELO,2021/01/12 18:19:00,Ambos,L,VERDE,28.8,0,NOVES DE SEGRE,LLEIDA,OL101128231,Ambos sentidos,METEOROLOGICA,0,7,42.29316,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa>HIELO</causa>
<poblacion>NOVES DE SEGRE</poblacion>
<fechahora_ini>2021-01-12",id-incidencia-1.30,incidencia, , ,1.34492,1.34492,42.29316,2021/01/19 23:31:00
31,CATALUÑA,L-913,HIELO,2021/01/12 18:16:00,Ambos,L,VERDE,8.3,0,VILANOVA DE MEIA,LLEIDA,OL101129225,Ambos sentidos,METEOROLOGICA,0,4,41.99462,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa>HIELO</causa>
<poblacion>VILANOVA DE MEIA</poblacion>
<fechahora_ini>2021-01-",id-incidencia-1.31,incidencia, , ,1.0237,1.0237,41.99462,2021/01/19 23:31:00
125,CATALUÑA,GI-503, CARRETERA CORTADA EN ESTE SENTIDO,2021/01/15 19:07:00, ,GI,NEGRO,25,18,MAÇANET DE CABRENYS,GIRONA,GI101159187,AMBOS SENTIDOS,CONO,0,1,42.3801697,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>GIRONA</provincia>
<matricula>GI</matricula>
<causa> CARRETERA CORTADA EN ESTE SENTIDO </causa>
<poblacion>MAÇANET DE CABRENYS</poblacio",id-incidencia-1.125,incidencia, , ,2.701933,2.701933,42.3801697,2021/01/19 23:31:00
126,CATALUÑA,GI-503, OTROS,2021/01/15 19:07:00, ,GI,NEGRO,25,18,MAÇANET DE CABRENYS,GIRONA,GI101158193,AMBOS SENTIDOS,CONO,0,1,42.3801697,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>GIRONA</provincia>
<matricula>GI</matricula>
<causa> OTROS </causa>
<poblacion>MAÇANET DE CABRENYS</poblacion>
<fechahora_ini>2021-01-15",id-incidencia-1.126,incidencia, , ,2.701933,2.701933,42.3801697,2021/01/19 23:31:00
127,CATALUÑA,GI-505, OTROS,2021/01/15 19:07:00, ,GI,NEGRO,3,0,VAJOL (LA),GIRONA,GI101159186,AMBOS SENTIDOS,CONO,0,2,42.40466,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>GIRONA</provincia>
<matricula>GI</matricula>
<causa> OTROS </causa>
<poblacion>VAJOL (LA)</poblacion>
<fechahora_ini>2021-01-15 19:07</fe",id-incidencia-1.127,incidencia, , ,2.80112,2.80112,42.40466,2021/01/19 23:31:00
128,CATALUÑA,GI-505, CARRETERA CORTADA EN ESTE SENTIDO,2021/01/15 19:07:00, ,GI,NEGRO,3,0,VAJOL (LA),GIRONA,GI101158192,AMBOS SENTIDOS,CONO,0,2,42.40466,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>GIRONA</provincia>
<matricula>GI</matricula>
<causa> CARRETERA CORTADA EN ESTE SENTIDO </causa>
<poblacion>VAJOL (LA)</poblacion>
<fechah",id-incidencia-1.128,incidencia, , ,2.80112,2.80112,42.40466,2021/01/19 23:31:00
133,CATALUÑA,N-141, OTROS,2021/01/08 09:48:00, ,L,NEGRO,8.4,8,BOSSOST,LLEIDA,OL101069034,AMBOS SENTIDOS,CONO,0,3,42.767274,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa> OTROS </causa>
<poblacion>BOSSOST</poblacion>
<fechahora_ini>2021-01-08 09:48</fechah",id-incidencia-1.133,incidencia, , ,0.659323,0.659323,42.767274,2021/01/19 23:31:00
134,CATALUÑA,N-141, CARRETERA CORTADA EN ESTE SENTIDO,2021/01/08 09:48:00, ,L,NEGRO,8.4,8,BOSSOST,LLEIDA,OL101068027,AMBOS SENTIDOS,CONO,0,3,42.767274,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa> CARRETERA CORTADA EN ESTE SENTIDO </causa>
<poblacion>BOSSOST</poblacion>
<fechahora_",id-incidencia-1.134,incidencia, , ,0.659323,0.659323,42.767274,2021/01/19 23:31:00
156,CATALUÑA,C-32,TRABAJOS DE MANTENIMIENTO,2021/01/15 10:18:00,ESPLUGUES DE LLOBREGAT,B,VERDE,63,59,ALMEDA MERCADER,BARCELONA,OB101128060,AMBOS SENTIDOS,OBRAS,0,2,41.3482244,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>ALMEDA MERCADER</poblacion>
<fechahor",id-incidencia-1.156,incidencia, , ,2.0924056,2.0924056,41.3482244,2021/01/19 23:31:00
