FID,autonomia,carretera,causa,fechahora_,hacia,matricula,nivel,pk_final,pk_inicial,poblacion,provincia,ref_incide,sentido,tipo,tipolocali,version_in,x,xml_fragme,xml_id,xml_matche,xml_parent,xml_pare_1,y,X1,Y1,actualizad
226,ANDALUCIA,N-322,OBRAS EN GENERAL,2020/12/29 09:09:00, ,J,VERDE,192,183,VILLACARRILLO,JAEN,OJ011249234,AMBOS SENTIDOS,OBRAS,0,3,38.1366753,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>ANDALUCIA</autonomia>
<provincia>JAEN</provincia>
<matricula>J</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>VILLACARRILLO</poblacion>
<fechahora_ini>2020-12-29",id-incidencia-1.226,incidencia, , ,-3.0497996,-3.0497996,38.1366753,2021/01/19 21:31:00
227,ANDALUCIA,N-322,OBRAS EN GENERAL,2017/09/21 15:26:00,CÓRDOBA-VALENCIA,J,VERDE,193.5,193,VILLANUEVA DEL ARZOBISPO,JAEN,OJ709218129,AMBOS SENTIDOS,OBRAS,0,1,38.1919036,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>ANDALUCIA</autonomia>
<provincia>JAEN</provincia>
<matricula>J</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>VILLANUEVA DEL ARZOBISPO</poblacion>
<fechahora_ini",id-incidencia-1.227,incidencia, , ,-2.9899228,-2.9899228,38.1919036,2021/01/19 21:31:00
228,CATALUÑA,C-13,OBRAS EN GENERAL,2021/01/11 12:15:00, ,L,VERDE,47.5,46.4,CAMARASA,LLEIDA,OL101119165,AMBOS SENTIDOS,OBRAS,0,1,41.9010705,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>CAMARASA</poblacion>
<fechahora_ini>2021-01-11 12",id-incidencia-1.228,incidencia, , ,0.8842893,0.8842893,41.9010705,2021/01/19 21:31:00
229,CATALUÑA,C-13,TRABAJOS DE MANTENIMIENTO,2021/01/12 11:25:00, ,L,VERDE,45.7,45.5,CAMARASA,LLEIDA,OL012079041,AMBOS SENTIDOS,OBRAS,0,5,41.8941736,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>CAMARASA</poblacion>
<fechahora_ini>2021",id-incidencia-1.229,incidencia, , ,0.8788536,0.8788536,41.8941736,2021/01/19 21:31:00
230,CATALUÑA,C-13,TRABAJOS DE MANTENIMIENTO,2021/01/12 11:26:00, ,L,VERDE,47.2,46.4,CAMARASA,LLEIDA,OL101129173,AMBOS SENTIDOS,OBRAS,0,1,41.9010705,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>CAMARASA</poblacion>
<fechahora_ini>2021",id-incidencia-1.230,incidencia, , ,0.8842893,0.8842893,41.9010705,2021/01/19 21:31:00
231,CATALUÑA,C-462,REASFALTADO,2020/09/30 21:36:00,ALÀS I CERC,L,VERDE,83.1,68.8, ,LLEIDA,OL008309020,AMBOS SENTIDOS,OBRAS,0,2,42.2772083,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa>REASFALTADO</causa>
<poblacion></poblacion>
<fechahora_ini>2020-09-30 21:36</fechahor",id-incidencia-1.231,incidencia, , ,1.5024114,1.5024114,42.2772083,2021/01/19 21:31:00
232,CATALUÑA,L-504,OBRAS EN GENERAL,2020/12/24 19:22:00, ,L,VERDE,18.6,18.6,LLADORRE,LLEIDA,OL012149263,AMBOS SENTIDOS,OBRAS,0,2,42.6399702,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>LLADORRE</poblacion>
<fechahora_ini>2020-12-24 19",id-incidencia-1.232,incidencia, , ,1.2521372,1.2521372,42.6399702,2021/01/19 21:31:00
233,CATALUÑA,C-14,TRABAJOS DE MANTENIMIENTO,2021/01/11 13:10:00, ,L,VERDE,169,162.5,ORGANYA,LLEIDA,OL010119011,AMBOS SENTIDOS,OBRAS,0,18,42.2115308,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>ORGANYA</poblacion>
<fechahora_ini>2021-",id-incidencia-1.233,incidencia, , ,1.3295613,1.3295613,42.2115308,2021/01/19 21:31:00
234,CATALUÑA,C-14, ,2019/11/01 18:31:00,PAS ALTERNATIU MENTRE DURI L' OBRA I TALLS PUNTUALS DE CALÇADA,L,VERDE,166.5,163.2,ORGANYÀ,LLEIDA,OL901070006,AMBOS SENTIDOS,OBRAS,0,22,42.2194627,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa></causa>
<poblacion>ORGANYÀ</poblacion>
<fechahora_ini>2019-11-01 18:31</fechahora_i",id-incidencia-1.234,incidencia, , ,1.3326848,1.3326848,42.2194627,2021/01/19 21:31:00
235,CASTILLA-LEON,A-6,TRABAJOS DE MANTENIMIENTO,2020/02/17 19:33:00, ,LE,VERDE,428,422,VEGA DE VALCARCE,LEON,LE002179297,AMBOS SENTIDOS,OBRAS,0,1,42.6682814,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CASTILLA-LEON</autonomia>
<provincia>LEON</provincia>
<matricula>LE</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>VEGA DE VALCARCE</poblacion>
<fechaho",id-incidencia-1.235,incidencia, , ,-6.9464612,-6.9464612,42.6682814,2021/01/19 21:31:00
