"","COD_INE","Municipio","Poblacion"
"833","43067","Ginestar",764
"834","43068","Godall",598
"835","43069","Gratallops",237
"836","43070","Guiamets, Els",278
"837","43071","Horta de Sant Joan",1146
"838","43072","Lloar, El",105
"839","43073","Llorac",91
"840","43074","Llorenç del Penedès",2395
"841","43076","Marçà",600
"842","43075","Margalef",106
"843","43077","Mas de Barberans",564
"844","43078","Masdenverge",1071
"845","43079","Masllorenç",505
"846","43080","Masó, La",280
"847","43081","Maspujols",823
"848","43082","Masroig, El",492
"849","43083","Milà, El",190
"850","43084","Miravet",706
"851","43085","Molar, El",291
"852","43086","Montblanc",7379
"853","43088","Montbrió del Camp",2909
"854","43089","Montferri",403
"855","43090","Montmell, El",1582
"856","43091","Mont-ral",168
"857","43092","Mont-roig del Camp",12460
"858","43093","Móra d'Ebre",5695
"859","43094","Móra la Nova",3108
"860","43095","Morell, El",3742
"861","43096","Morera de Montsant, La",159
"862","43097","Nou de Gaià, La",600
"863","43098","Nulles",509
"864","43100","Pallaresos, Els",4850
"865","43099","Palma d'Ebre, La",338
"866","43101","Passanant i Belltall",155
"867","43102","Paüls",545
"868","43103","Perafort",1264
"869","43104","Perelló, El",2826
"870","43105","Piles, Les",210
"871","43106","Pinell de Brai, El",1008
"872","43107","Pira",503
"873","43108","Pla de Santa Maria, El",2348
"874","43109","Pobla de Mafumet, La",3971
"875","43110","Pobla de Massaluca, La",317
"876","43111","Pobla de Montornès, La",2884
"877","43112","Poboleda",321
"878","43113","Pont d'Armentera, El",488
"879","43141","Pontils",122
"880","43114","Porrera",424
"881","43115","Pradell de la Teixeta",158
"882","43116","Prades",588
"883","43117","Prat de Comte",177
"884","43118","Pratdip",726
"885","43119","Puigpelat",1163
"886","43120","Querol",518
"887","43121","Rasquera",783
"888","43122","Renau",162
"889","43123","Reus",106168
"890","43124","Riba, La",585
"891","43125","Riba-roja d'Ebre",1110
"892","43126","Riera de Gaià, La",1742
"893","43127","Riudecanyes",1146
"894","43128","Riudecols",1189
"895","43129","Riudoms",6569
"896","43130","Rocafort de Queralt",211
"897","43131","Roda de Berà",6785
"898","43132","Rodonyà",494
"899","43133","Roquetes",8079
"900","43134","Rourell, El",372
"901","43135","Salomó",549
"902","43905","Salou",28526
"903","43136","Sant Carles de la Ràpita",14953
"904","43137","Sant Jaume dels Domenys",2624
"905","43902","Sant Jaume d'Enveja",3527
"906","43138","Santa Bàrbara",3715
"907","43139","Santa Coloma de Queralt",2672
"908","43140","Santa Oliva",3353
"909","43142","Sarral",1538
"910","43143","Savallà del Comtat",53
"911","43144","Secuita, La",1708
"912","43145","Selva del Camp, La",5683
"913","43146","Senan",44
"914","43044","Sénia, La",5640
"915","43147","Solivella",632
"916","43148","Tarragona",136496
"917","43149","Tivenys",902
"918","43150","Tivissa",1619
"919","43151","Torre de Fontaubella, La",131
"920","43152","Torre de l'Espanyol, La",601
"921","43153","Torredembarra",16567
"922","43154","Torroja del Priorat",152
"923","43155","Tortosa",33439
"924","43156","Ulldecona",6525
"925","43157","Ulldemolins",398
"926","43158","Vallclara",88
"927","43159","Vallfogona de Riucorb",77
"928","43160","Vallmoll",1774
"929","43161","Valls",24477
"930","43162","Vandellòs i l'Hospitalet de l'Infant",6603
"931","43163","Vendrell, El",38373
"932","43164","Vespella de Gaià",417
"933","43165","Vilabella",729
"934","43175","Vilalba dels Arcs",621
"935","43166","Vilallonga del Camp",2405
"936","43168","Vilanova de Prades",107
"937","43167","Vilanova d'Escornalbou",565
"938","43169","Vilaplana",555
"939","43170","Vila-rodona",1276
"940","43171","Vila-seca",22555
"941","43172","Vilaverd",443
"942","43173","Vilella Alta, La",133
"943","43174","Vilella Baixa, La",204
"944","43176","Vimbodí i Poblet",890
"945","43177","Vinebre",425
"946","43178","Vinyols i els Arcs",2124
"947","43052","Xerta",1154
