"","COD_INE","Municipio","Poblacion"
"196","08191","Sallent",6735
"197","08194","Sant Adrià de Besòs",37447
"198","08195","Sant Agustí de Lluçanès",89
"199","08196","Sant Andreu de la Barca",27569
"200","08197","Sant Andreu de Llavaneres",11133
"201","08198","Sant Antoni de Vilamajor",6208
"202","08199","Sant Bartomeu del Grau",884
"203","08200","Sant Boi de Llobregat",84500
"204","08201","Sant Boi de Lluçanès",580
"205","08203","Sant Cebrià de Vallalta",3438
"206","08202","Sant Celoni",18136
"207","08204","Sant Climent de Llobregat",4160
"208","08205","Sant Cugat del Vallès",92977
"209","08206","Sant Cugat Sesgarrigues",1009
"210","08207","Sant Esteve de Palautordera",2864
"211","08208","Sant Esteve Sesrovires",7696
"212","08210","Sant Feliu de Codines",6363
"213","08211","Sant Feliu de Llobregat",45467
"214","08212","Sant Feliu Sasserra",605
"215","08209","Sant Fost de Campsentelles",8853
"216","08213","Sant Fruitós de Bages",8837
"217","08215","Sant Hipòlit de Voltregà",3540
"218","08193","Sant Iscle de Vallalta",1342
"219","08216","Sant Jaume de Frontanyà",30
"220","08218","Sant Joan de Vilatorrada",10998
"221","08217","Sant Joan Despí",34267
"222","08903","Sant Julià de Cerdanyola",229
"223","08220","Sant Julià de Vilatorta",3140
"224","08221","Sant Just Desvern",18670
"225","08222","Sant Llorenç d'Hortons",2428
"226","08223","Sant Llorenç Savall",2417
"227","08225","Sant Martí d'Albars",114
"228","08224","Sant Martí de Centelles",1184
"229","08226","Sant Martí de Tous",1228
"230","08227","Sant Martí Sarroca",3261
"231","08228","Sant Martí Sesgueioles",342
"232","08229","Sant Mateu de Bages",608
"233","08231","Sant Pere de Ribes",31111
"234","08232","Sant Pere de Riudebitlles",2380
"235","08233","Sant Pere de Torelló",2470
"236","08234","Sant Pere de Vilamajor",4544
"237","08189","Sant Pere Sallavinera",151
"238","08235","Sant Pol de Mar",5428
"239","08236","Sant Quintí de Mediona",2317
"240","08237","Sant Quirze de Besora",2154
"241","08238","Sant Quirze del Vallès",20195
"242","08239","Sant Quirze Safaja",631
"243","08240","Sant Sadurní d'Anoia",12841
"244","08241","Sant Sadurní d'Osormort",76
"245","08098","Sant Salvador de Guardiola",3221
"246","08262","Sant Vicenç de Castellet",9767
"247","08264","Sant Vicenç de Montalt",6452
"248","08265","Sant Vicenç de Torelló",2058
"249","08263","Sant Vicenç dels Horts",28268
"250","08243","Santa Cecília de Voltregà",182
"251","08244","Santa Coloma de Cervelló",8268
"252","08245","Santa Coloma de Gramenet",120443
"253","08246","Santa Eugènia de Berga",2278
"254","08247","Santa Eulàlia de Riuprimer",1383
"255","08248","Santa Eulàlia de Ronçana",7426
"256","08249","Santa Fe del Penedès",367
"257","08250","Santa Margarida de Montbui",10225
"258","08251","Santa Margarida i els Monjos",7676
"259","08253","Santa Maria de Besora",161
"260","08256","Santa Maria de Martorelles",890
"261","08255","Santa Maria de Merlès",184
"262","08257","Santa Maria de Miralles",119
"263","08259","Santa Maria de Palautordera",9630
"264","08258","Santa Maria d'Oló",1024
"265","08260","Santa Perpètua de Mogoda",25999
"266","08261","Santa Susanna",3548
"267","08192","Santpedor",7604
"268","08267","Sentmenat",9235
"269","08269","Seva",3544
"270","08270","Sitges",29553
"271","08271","Sobremunt",78
"272","08272","Sora",212
"273","08273","Subirats",3104
"274","08274","Súria",5948
"275","08276","Tagamanent",318
"276","08277","Talamanca",209
"277","08278","Taradell",6640
"278","08275","Tavèrnoles",322
"279","08280","Tavertet",105
"280","08281","Teià",6427
"281","08279","Terrassa",223627
"282","08282","Tiana",8945
"283","08283","Tona",8356
"284","08284","Tordera",17519
"285","08285","Torelló",14400
"286","08286","Torre de Claramunt, La",3741
"287","08287","Torrelavit",1422
"288","08288","Torrelles de Foix",2398
"289","08289","Torrelles de Llobregat",6073
"290","08290","Ullastrell",2089
"291","08291","Vacarisses",6832
"292","08292","Vallbona d'Anoia",1357
"293","08293","Vallcebre",249
"294","08294","Vallgorguina",2988
"295","08295","Vallirana",15312
"296","08296","Vallromanes",2558
"297","08297","Veciana",175
"298","08298","Vic",47630
"299","08299","Vilada",419
"300","08301","Viladecans",67197
"301","08300","Viladecavalls",7545
"302","08305","Vilafranca del Penedès",40154
"303","08306","Vilalba Sasserra",753
"304","08303","Vilanova de Sau",312
"305","08302","Vilanova del Camí",12596
"306","08902","Vilanova del Vallès",5503
"307","08307","Vilanova i la Geltrú",67733
"308","08214","Vilassar de Dalt",9072
"309","08219","Vilassar de Mar",21035
"310","08304","Vilobí del Penedès",1102
"311","08308","Viver i Serrateix",172
"312","17001","Agullana",863
"313","17002","Aiguaviva",765
"314","17003","Albanyà",155
"315","17004","Albons",759
"316","17006","Alp",1593
"317","17007","Amer",2332
