Municipios;Sexo;Periodo;Total
08154 Pacs del Penedès;Total;2020;918
08155 Palafolls;Total;2020;9.613
08156 Palau-solità i Plegamans;Total;2020;14.892
08157 Pallejà;Total;2020;11.622
08905 Palma de Cervelló, La;Total;2020;2.992
08158 Papiol, El;Total;2020;4.172
08159 Parets del Vallès;Total;2020;19.071
08160 Perafita;Total;2020;405
08161 Piera;Total;2020;16.134
08163 Pineda de Mar;Total;2020;27.984
08164 Pla del Penedès, El;Total;2020;1.275
08165 Pobla de Claramunt, La;Total;2020;2.185
08166 Pobla de Lillet, La;Total;2020;1.093
08167 Polinyà;Total;2020;8.504
08182 Pont de Vilomara i Rocafort, El;Total;2020;3.907
08168 Pontons;Total;2020;528
08169 Prat de Llobregat, El;Total;2020;65.385
08171 Prats de Lluçanès;Total;2020;2.604
08170 Prats de Rei, Els;Total;2020;537
08230 Premià de Dalt;Total;2020;10.441
08172 Premià de Mar;Total;2020;28.531
08174 Puigdàlber;Total;2020;524
08175 Puig-reig;Total;2020;4.295
08176 Pujalt;Total;2020;210
08177 Quar, La;Total;2020;49
08178 Rajadell;Total;2020;534
08179 Rellinars;Total;2020;809
08180 Ripollet;Total;2020;39.179
08181 Roca del Vallès, La;Total;2020;10.754
08183 Roda de Ter;Total;2020;6.490
08184 Rubí;Total;2020;78.591
08185 Rubió;Total;2020;239
08901 Rupit i Pruit;Total;2020;271
08187 Sabadell;Total;2020;216.520
08188 Sagàs;Total;2020;145
08190 Saldes;Total;2020;278
08191 Sallent;Total;2020;6.735
08194 Sant Adrià de Besòs;Total;2020;37.447
08195 Sant Agustí de Lluçanès;Total;2020;89
08196 Sant Andreu de la Barca;Total;2020;27.569
08197 Sant Andreu de Llavaneres;Total;2020;11.133
08198 Sant Antoni de Vilamajor;Total;2020;6.208
08199 Sant Bartomeu del Grau;Total;2020;884
08200 Sant Boi de Llobregat;Total;2020;84.500
08201 Sant Boi de Lluçanès;Total;2020;580
08203 Sant Cebrià de Vallalta;Total;2020;3.438
08202 Sant Celoni;Total;2020;18.136
08204 Sant Climent de Llobregat;Total;2020;4.160
08205 Sant Cugat del Vallès;Total;2020;92.977
08206 Sant Cugat Sesgarrigues;Total;2020;1.009
08207 Sant Esteve de Palautordera;Total;2020;2.864
08208 Sant Esteve Sesrovires;Total;2020;7.696
08210 Sant Feliu de Codines;Total;2020;6.363
08211 Sant Feliu de Llobregat;Total;2020;45.467
08212 Sant Feliu Sasserra;Total;2020;605
08209 Sant Fost de Campsentelles;Total;2020;8.853
08213 Sant Fruitós de Bages;Total;2020;8.837
08215 Sant Hipòlit de Voltregà;Total;2020;3.540
08193 Sant Iscle de Vallalta;Total;2020;1.342
08216 Sant Jaume de Frontanyà;Total;2020;30
08218 Sant Joan de Vilatorrada;Total;2020;10.998
08217 Sant Joan Despí;Total;2020;34.267
08903 Sant Julià de Cerdanyola;Total;2020;229
08220 Sant Julià de Vilatorta;Total;2020;3.140
08221 Sant Just Desvern;Total;2020;18.670
08222 Sant Llorenç d'Hortons;Total;2020;2.428
08223 Sant Llorenç Savall;Total;2020;2.417
08225 Sant Martí d'Albars;Total;2020;114
08224 Sant Martí de Centelles;Total;2020;1.184
08226 Sant Martí de Tous;Total;2020;1.228
08227 Sant Martí Sarroca;Total;2020;3.261
08228 Sant Martí Sesgueioles;Total;2020;342
08229 Sant Mateu de Bages;Total;2020;608
08231 Sant Pere de Ribes;Total;2020;31.111
08232 Sant Pere de Riudebitlles;Total;2020;2.380
08233 Sant Pere de Torelló;Total;2020;2.470
08234 Sant Pere de Vilamajor;Total;2020;4.544
08189 Sant Pere Sallavinera;Total;2020;151
08235 Sant Pol de Mar;Total;2020;5.428
08236 Sant Quintí de Mediona;Total;2020;2.317
08237 Sant Quirze de Besora;Total;2020;2.154
08238 Sant Quirze del Vallès;Total;2020;20.195
08239 Sant Quirze Safaja;Total;2020;631
08240 Sant Sadurní d'Anoia;Total;2020;12.841
