"","X","COD_INE","Municipio","Poblacion"
"168",168,8161,"Piera",16134
"169",169,8163,"Pineda de Mar",27984
"170",170,8164,"El Pla del Penedès",1275
"171",171,8165,"La Pobla de Claramunt",2185
"172",172,8166,"La Pobla de Lillet",1093
"173",173,8167,"Polinyà",8504
"174",174,8182,"El Pont de Vilomara i Rocafort",3907
"175",175,8168,"Pontons",528
"176",176,8169,"El Prat de Llobregat",65385
"177",177,8171,"Prats de Lluçanès",2604
"178",178,8170,"Els Prats de Rei",537
"179",179,8230,"Premià de Dalt",10441
"180",180,8172,"Premià de Mar",28531
"181",181,8174,"Puigdàlber",524
"182",182,8175,"Puig-reig",4295
"183",183,8176,"Pujalt",210
"184",184,8177,"La Quar",49
"185",185,8178,"Rajadell",534
"186",186,8179,"Rellinars",809
"187",187,8180,"Ripollet",39179
"188",188,8181,"La Roca del Vallès",10754
"189",189,8183,"Roda de Ter",6490
"190",190,8184,"Rubí",78591
"191",191,8185,"Rubió",239
"192",192,8901,"Rupit i Pruit",271
"193",193,8187,"Sabadell",216520
"194",194,8188,"Sagàs",145
"195",195,8190,"Saldes",278
"196",196,8191,"Sallent",6735
"197",197,8194,"Sant Adrià de Besòs",37447
"198",198,8195,"Sant Agustí de Lluçanès",89
"199",199,8196,"Sant Andreu de la Barca",27569
"200",200,8197,"Sant Andreu de Llavaneres",11133
"201",201,8198,"Sant Antoni de Vilamajor",6208
"202",202,8199,"Sant Bartomeu del Grau",884
"203",203,8200,"Sant Boi de Llobregat",84500
"204",204,8201,"Sant Boi de Lluçanès",580
"205",205,8203,"Sant Cebrià de Vallalta",3438
"206",206,8202,"Sant Celoni",18136
"207",207,8204,"Sant Climent de Llobregat",4160
"208",208,8205,"Sant Cugat del Vallès",92977
"209",209,8206,"Sant Cugat Sesgarrigues",1009
"210",210,8207,"Sant Esteve de Palautordera",2864
"211",211,8208,"Sant Esteve Sesrovires",7696
"212",212,8210,"Sant Feliu de Codines",6363
"213",213,8211,"Sant Feliu de Llobregat",45467
"214",214,8212,"Sant Feliu Sasserra",605
"215",215,8209,"Sant Fost de Campsentelles",8853
"216",216,8213,"Sant Fruitós de Bages",8837
"217",217,8215,"Sant Hipòlit de Voltregà",3540
"218",218,8193,"Sant Iscle de Vallalta",1342
"219",219,8216,"Sant Jaume de Frontanyà",30
"220",220,8218,"Sant Joan de Vilatorrada",10998
"221",221,8217,"Sant Joan Despí",34267
"222",222,8903,"Sant Julià de Cerdanyola",229
"223",223,8220,"Sant Julià de Vilatorta",3140
"224",224,8221,"Sant Just Desvern",18670
"225",225,8222,"Sant Llorenç d'Hortons",2428
"226",226,8223,"Sant Llorenç Savall",2417
"227",227,8225,"Sant Martí d'Albars",114
"228",228,8224,"Sant Martí de Centelles",1184
"229",229,8226,"Sant Martí de Tous",1228
"230",230,8227,"Sant Martí Sarroca",3261
"231",231,8228,"Sant Martí Sesgueioles",342
"232",232,8229,"Sant Mateu de Bages",608
"233",233,8231,"Sant Pere de Ribes",31111
"234",234,8232,"Sant Pere de Riudebitlles",2380
"235",235,8233,"Sant Pere de Torelló",2470
"236",236,8234,"Sant Pere de Vilamajor",4544
"237",237,8189,"Sant Pere Sallavinera",151
"238",238,8235,"Sant Pol de Mar",5428
"239",239,8236,"Sant Quintí de Mediona",2317
"240",240,8237,"Sant Quirze de Besora",2154
"241",241,8238,"Sant Quirze del Vallès",20195
"242",242,8239,"Sant Quirze Safaja",631
"243",243,8240,"Sant Sadurní d'Anoia",12841
"244",244,8241,"Sant Sadurní d'Osormort",76
"245",245,8098,"Sant Salvador de Guardiola",3221
"246",246,8262,"Sant Vicenç de Castellet",9767
"247",247,8264,"Sant Vicenç de Montalt",6452
"248",248,8265,"Sant Vicenç de Torelló",2058
"249",249,8263,"Sant Vicenç dels Horts",28268
"250",250,8243,"Santa Cecília de Voltregà",182
"251",251,8244,"Santa Coloma de Cervelló",8268
"252",252,8245,"Santa Coloma de Gramenet",120443
"253",253,8246,"Santa Eugènia de Berga",2278
"254",254,8247,"Santa Eulàlia de Riuprimer",1383
"255",255,8248,"Santa Eulàlia de Ronçana",7426
"256",256,8249,"Santa Fe del Penedès",367
"257",257,8250,"Santa Margarida de Montbui",10225
"258",258,8251,"Santa Margarida i els Monjos",7676
"259",259,8253,"Santa Maria de Besora",161
"260",260,8256,"Santa Maria de Martorelles",890
"261",261,8255,"Santa Maria de Merlès",184
"262",262,8257,"Santa Maria de Miralles",119
"263",263,8259,"Santa Maria de Palautordera",9630
"264",264,8258,"Santa Maria d'Oló",1024
"265",265,8260,"Santa Perpètua de Mogoda",25999
"266",266,8261,"Santa Susanna",3548
"267",267,8192,"Santpedor",7604
"268",268,8267,"Sentmenat",9235
"269",269,8269,"Seva",3544
"270",270,8270,"Sitges",29553
"271",271,8271,"Sobremunt",78
"272",272,8272,"Sora",212
"273",273,8273,"Subirats",3104
"274",274,8274,"Súria",5948
"275",275,8276,"Tagamanent",318
"276",276,8277,"Talamanca",209
"277",277,8278,"Taradell",6640
"278",278,8275,"Tavèrnoles",322
"279",279,8280,"Tavertet",105
"280",280,8281,"Teià",6427
"281",281,8279,"Terrassa",223627
"282",282,8282,"Tiana",8945
"283",283,8283,"Tona",8356
"284",284,8284,"Tordera",17519
"285",285,8285,"Torelló",14400
"286",286,8286,"La Torre de Claramunt",3741
"287",287,8287,"Torrelavit",1422
"288",288,8288,"Torrelles de Foix",2398
"289",289,8289,"Torrelles de Llobregat",6073
"290",290,8290,"Ullastrell",2089
"291",291,8291,"Vacarisses",6832
"292",292,8292,"Vallbona d'Anoia",1357
"293",293,8293,"Vallcebre",249
"294",294,8294,"Vallgorguina",2988
"295",295,8295,"Vallirana",15312
"296",296,8296,"Vallromanes",2558
"297",297,8297,"Veciana",175
"298",298,8298,"Vic",47630
"299",299,8299,"Vilada",419
"300",300,8301,"Viladecans",67197
"301",301,8300,"Viladecavalls",7545
"302",302,8305,"Vilafranca del Penedès",40154
"303",303,8306,"Vilalba Sasserra",753
"304",304,8303,"Vilanova de Sau",312
"305",305,8302,"Vilanova del Camí",12596
"306",306,8902,"Vilanova del Vallès",5503
"307",307,8307,"Vilanova i la Geltrú",67733
"308",308,8214,"Vilassar de Dalt",9072
"309",309,8219,"Vilassar de Mar",21035
"310",310,8304,"Vilobí del Penedès",1102
"311",311,8308,"Viver i Serrateix",172
"312",312,17001,"Agullana",863
"313",313,17002,"Aiguaviva",765
"314",314,17003,"Albanyà",155
"315",315,17004,"Albons",759
"316",316,17006,"Alp",1593
"317",317,17007,"Amer",2332
"318",318,17008,"Anglès",5654
"319",319,17009,"Arbúcies",6608
"320",320,17010,"Argelaguer",396
"321",321,17011,"L'Armentera",951
"322",322,17012,"Avinyonet de Puigventós",1641
"323",323,17015,"Banyoles",20053
"324",324,17016,"Bàscara",1001
"325",325,17013,"Begur",3891
"326",326,17018,"Bellcaire d'Empordà",678
"327",327,17019,"Besalú",2487
"328",328,17020,"Bescanó",4991
"329",329,17021,"Beuda",186
"330",330,17022,"La Bisbal d'Empordà",11159
"331",331,17234,"Biure",241
"332",332,17023,"Blanes",39914
"333",333,17029,"Boadella i les Escaules",272
"334",334,17024,"Bolvir",375
"335",335,17025,"Bordils",1761
"336",336,17026,"Borrassà",733
"337",337,17027,"Breda",3762
"338",338,17028,"Brunyola i Sant Martí Sapresa",389
"339",339,17031,"Cabanelles",267
"340",340,17030,"Cabanes",968
"341",341,17032,"Cadaqués",2695
"342",342,17033,"Caldes de Malavella",7872
"343",343,17034,"Calonge i Sant Antoni",11331
"344",344,17035,"Camós",677
"345",345,17036,"Campdevànol",3232
"346",346,17037,"Campelles",140
"347",347,17038,"Campllong",537
"348",348,17039,"Camprodon",2298
"349",349,17040,"Canet d'Adri",729
"350",350,17041,"Cantallops",309
"351",351,17042,"Capmany",611
"352",352,17044,"Cassà de la Selva",10410
"353",353,17046,"Castellfollit de la Roca",947
"354",354,17047,"Castelló d'Empúries",11100
"355",355,17048,"Castell-Platja d'Aro",11030
"356",356,17189,"La Cellera de Ter",1950
"357",357,17049,"Celrà",5561
"358",358,17050,"Cervià de Ter",966
"359",359,17051,"Cistella",282
"360",360,17054,"Colera",445
"361",361,17055,"Colomers",174
"362",362,17057,"Corçà",1268
"363",363,17056,"Cornellà del Terri",2399
"364",364,17058,"Crespià",254
"365",365,17901,"Cruïlles, Monells i Sant Sadurní de l'Heura",1270
"366",366,17060,"Darnius",537
"367",367,17061,"Das",234
"368",368,17062,"L'Escala",10244
"369",369,17063,"Espinelves",221
"370",370,17064,"Espolla",412
"371",371,17065,"Esponellà",463
"372",372,17005,"El Far d'Empordà",602
"373",373,17066,"Figueres",47235
"374",374,17067,"Flaçà",1130
"375",375,17068,"Foixà",303
"376",376,17069,"Fontanals de Cerdanya",437
"377",377,17070,"Fontanilles",146
"378",378,17071,"Fontcoberta",1469
"379",379,17902,"Forallac",1695
"380",380,17073,"Fornells de la Selva",2670
"381",381,17074,"Fortià",787
"382",382,17075,"Garrigàs",451
"383",383,17076,"Garrigoles",167
"384",384,17077,"Garriguella",853
"385",385,17078,"Ger",449
"386",386,17079,"Girona",103369
"387",387,17080,"Gombrèn",192
"388",388,17081,"Gualta",402
"389",389,17082,"Guils de Cerdanya",549
"390",390,17083,"Hostalric",4291
"391",391,17084,"Isòvol",281
"392",392,17085,"Jafre",387
"393",393,17086,"La Jonquera",3320
"394",394,17087,"Juià",319
"395",395,17088,"Lladó",844
"396",396,17089,"Llagostera",8647
"397",397,17090,"Llambilles",713
"398",398,17091,"Llanars",535
"399",399,17092,"Llançà",4775
"400",400,17093,"Llers",1237
