"","X","COD_INE","Municipio","Poblacion"
"708",708,25902,"Sant Martí de Riucorb",639
"709",709,25194,"Sant Ramon",487
"710",710,25201,"Sarroca de Bellera",116
"711",711,25200,"Sarroca de Lleida",358
"712",712,25202,"Senterada",139
"713",713,25035,"La Sentiu de Sió",414
"714",714,25204,"Seròs",1946
"715",715,25203,"La Seu d'Urgell",12206
"716",716,25205,"Sidamon",748
"717",717,25206,"El Soleràs",332
"718",718,25207,"Solsona",9137
"719",719,25208,"Soriguera",420
"720",720,25209,"Sort",2154
"721",721,25210,"Soses",1761
"722",722,25211,"Sudanell",840
"723",723,25212,"Sunyer",343
"724",724,25215,"Talarn",595
"725",725,25216,"Talavera",279
"726",726,25217,"Tàrrega",17445
"727",727,25218,"Tarrés",102
"728",728,25219,"Tarroja de Segarra",188
"729",729,25220,"Térmens",1360
"730",730,25221,"Tírvia",134
"731",731,25222,"Tiurana",77
"732",732,25223,"Torà",1237
"733",733,25224,"Els Torms",138
"734",734,25225,"Tornabous",822
"735",735,25227,"La Torre de Cabdella",759
"736",736,25226,"Torrebesses",267
"737",737,25228,"Torrefarrera",4694
"738",738,25907,"Torrefeta i Florejacs",607
"739",739,25230,"Torregrossa",2179
"740",740,25231,"Torrelameu",735
"741",741,25232,"Torres de Segre",2366
"742",742,25233,"Torre-serona",398
"743",743,25234,"Tremp",5911
"744",744,25043,"La Vall de Boí",1019
"745",745,25901,"Vall de Cardós",350
"746",746,25238,"Vallbona de les Monges",243
"747",747,25240,"Vallfogona de Balaguer",1906
"748",748,25906,"Les Valls d'Aguilar",245
"749",749,25239,"Les Valls de Valira",784
"750",750,25909,"La Vansa i Fórnols",149
"751",751,25242,"Verdú",902
"752",752,25243,"Vielha e Mijaran",5611
"753",753,25244,"Vilagrassa",560
"754",754,25245,"Vilaller",549
"755",755,25247,"Vilamòs",178
"756",756,25248,"Vilanova de Bellpuig",1183
"757",757,25254,"Vilanova de la Barca",1088
"758",758,25249,"Vilanova de l'Aguda",200
"759",759,25250,"Vilanova de Meià",415
"760",760,25251,"Vilanova de Segrià",985
"761",761,25252,"Vila-sana",734
"762",762,25253,"El Vilosell",173
"763",763,25255,"Vinaixa",450
"764",764,43001,"Aiguamúrcia",930
"765",765,43002,"Albinyana",2468
"766",766,43003,"L'Albiol",500
"767",767,43004,"Alcanar",9434
"768",768,43005,"Alcover",5144
"769",769,43904,"L'Aldea",4147
"770",770,43006,"Aldover",905
"771",771,43007,"L'Aleixar",893
"772",772,43008,"Alfara de Carles",376
"773",773,43009,"Alforja",1783
"774",774,43010,"Alió",458
"775",775,43011,"Almoster",1341
"776",776,43012,"Altafulla",5307
"777",777,43013,"L'Ametlla de Mar",6866
"778",778,43906,"L'Ampolla",3277
"779",779,43014,"Amposta",21115
"780",780,43016,"L'Arboç",5609
"781",781,43015,"Arbolí",127
"782",782,43017,"L'Argentera",117
"783",783,43018,"Arnes",444
"784",784,43019,"Ascó",1644
"785",785,43020,"Banyeres del Penedès",3207
"786",786,43021,"Barberà de la Conca",471
"787",787,43022,"Batea",1901
"788",788,43023,"Bellmunt del Priorat",273
"789",789,43024,"Bellvei",2237
"790",790,43025,"Benifallet",723
"791",791,43026,"Benissanet",1140
"792",792,43027,"La Bisbal de Falset",211
"793",793,43028,"La Bisbal del Penedès",3631
"794",794,43029,"Blancafort",382
"795",795,43030,"Bonastre",685
"796",796,43031,"Les Borges del Camp",2056
"797",797,43032,"Bot",554
"798",798,43033,"Botarell",1077
"799",799,43034,"Bràfim",695
"800",800,43035,"Cabacés",302
"801",801,43036,"Cabra del Camp",1175
"802",802,43037,"Calafell",27601
"803",803,43903,"Camarles",3194
"804",804,43038,"Cambrils",34734
"805",805,43907,"La Canonja",5956
"806",806,43039,"Capafonts",111
"807",807,43040,"Capçanes",392
"808",808,43041,"Caseres",237
"809",809,43042,"Castellvell del Camp",2828
"810",810,43043,"El Catllar",4557
"811",811,43045,"Colldejou",168
"812",812,43046,"Conesa",100
"813",813,43047,"Constantí",6665
"814",814,43048,"Corbera d'Ebre",1003
"815",815,43049,"Cornudella de Montsant",944
"816",816,43050,"Creixell",3758
"817",817,43051,"Cunit",13533
"818",818,43901,"Deltebre",11578
"819",819,43053,"Duesaigües",244
"820",820,43054,"L'Espluga de Francolí",3736
"821",821,43055,"Falset",2735
"822",822,43056,"La Fatarella",926
"823",823,43057,"La Febró",40
"824",824,43058,"La Figuera",114
"825",825,43059,"Figuerola del Camp",329
"826",826,43060,"Flix",3410
"827",827,43061,"Forès",43
"828",828,43062,"Freginals",385
"829",829,43063,"La Galera",736
"830",830,43064,"Gandesa",3096
"831",831,43065,"Garcia",527
"832",832,43066,"Els Garidells",190
"833",833,43067,"Ginestar",764
"834",834,43068,"Godall",598
"835",835,43069,"Gratallops",237
"836",836,43070,"Els Guiamets",278
"837",837,43071,"Horta de Sant Joan",1146
"838",838,43072,"El Lloar",105
"839",839,43073,"Llorac",91
"840",840,43074,"Llorenç del Penedès",2395
"841",841,43076,"Marçà",600
"842",842,43075,"Margalef",106
"843",843,43077,"Mas de Barberans",564
"844",844,43078,"Masdenverge",1071
"845",845,43079,"Masllorenç",505
"846",846,43080,"La Masó",280
"847",847,43081,"Maspujols",823
"848",848,43082,"El Masroig",492
"849",849,43083,"El Milà",190
"850",850,43084,"Miravet",706
"851",851,43085,"El Molar",291
"852",852,43086,"Montblanc",7379
"853",853,43088,"Montbrió del Camp",2909
"854",854,43089,"Montferri",403
"855",855,43090,"El Montmell",1582
"856",856,43091,"Mont-ral",168
"857",857,43092,"Mont-roig del Camp",12460
"858",858,43093,"Móra d'Ebre",5695
"859",859,43094,"Móra la Nova",3108
"860",860,43095,"El Morell",3742
"861",861,43096,"La Morera de Montsant",159
"862",862,43097,"La Nou de Gaià",600
"863",863,43098,"Nulles",509
"864",864,43100,"Els Pallaresos",4850
"865",865,43099,"La Palma d'Ebre",338
"866",866,43101,"Passanant i Belltall",155
"867",867,43102,"Paüls",545
"868",868,43103,"Perafort",1264
"869",869,43104,"El Perelló",2826
"870",870,43105,"Les Piles",210
"871",871,43106,"El Pinell de Brai",1008
"872",872,43107,"Pira",503
"873",873,43108,"El Pla de Santa Maria",2348
"874",874,43109,"La Pobla de Mafumet",3971
"875",875,43110,"La Pobla de Massaluca",317
"876",876,43111,"La Pobla de Montornès",2884
"877",877,43112,"Poboleda",321
"878",878,43113,"El Pont d'Armentera",488
"879",879,43141,"Pontils",122
"880",880,43114,"Porrera",424
"881",881,43115,"Pradell de la Teixeta",158
"882",882,43116,"Prades",588
"883",883,43117,"Prat de Comte",177
"884",884,43118,"Pratdip",726
"885",885,43119,"Puigpelat",1163
"886",886,43120,"Querol",518
"887",887,43121,"Rasquera",783
"888",888,43122,"Renau",162
"889",889,43123,"Reus",106168
"890",890,43124,"La Riba",585
"891",891,43125,"Riba-roja d'Ebre",1110
"892",892,43126,"La Riera de Gaià",1742
"893",893,43127,"Riudecanyes",1146
"894",894,43128,"Riudecols",1189
"895",895,43129,"Riudoms",6569
"896",896,43130,"Rocafort de Queralt",211
"897",897,43131,"Roda de Berà",6785
"898",898,43132,"Rodonyà",494
"899",899,43133,"Roquetes",8079
"900",900,43134,"El Rourell",372
"901",901,43135,"Salomó",549
"902",902,43905,"Salou",28526
"903",903,43136,"Sant Carles de la Ràpita",14953
"904",904,43137,"Sant Jaume dels Domenys",2624
"905",905,43902,"Sant Jaume d'Enveja",3527
"906",906,43138,"Santa Bàrbara",3715
"907",907,43139,"Santa Coloma de Queralt",2672
"908",908,43140,"Santa Oliva",3353
"909",909,43142,"Sarral",1538
"910",910,43143,"Savallà del Comtat",53
"911",911,43144,"La Secuita",1708
"912",912,43145,"La Selva del Camp",5683
"913",913,43146,"Senan",44
"914",914,43044,"La Sénia",5640
"915",915,43147,"Solivella",632
"916",916,43148,"Tarragona",136496
"917",917,43149,"Tivenys",902
"918",918,43150,"Tivissa",1619
"919",919,43151,"La Torre de Fontaubella",131
"920",920,43152,"La Torre de l'Espanyol",601
"921",921,43153,"Torredembarra",16567
"922",922,43154,"Torroja del Priorat",152
"923",923,43155,"Tortosa",33439
"924",924,43156,"Ulldecona",6525
"925",925,43157,"Ulldemolins",398
"926",926,43158,"Vallclara",88
"927",927,43159,"Vallfogona de Riucorb",77
"928",928,43160,"Vallmoll",1774
"929",929,43161,"Valls",24477
"930",930,43162,"Vandellòs i l'Hospitalet de l'Infant",6603
"931",931,43163,"El Vendrell",38373
"932",932,43164,"Vespella de Gaià",417
"933",933,43165,"Vilabella",729
"934",934,43175,"Vilalba dels Arcs",621
"935",935,43166,"Vilallonga del Camp",2405
"936",936,43168,"Vilanova de Prades",107
"937",937,43167,"Vilanova d'Escornalbou",565
"938",938,43169,"Vilaplana",555
"939",939,43170,"Vila-rodona",1276
"940",940,43171,"Vila-seca",22555
"941",941,43172,"Vilaverd",443
"942",942,43173,"La Vilella Alta",133
"943",943,43174,"La Vilella Baixa",204
"944",944,43176,"Vimbodí i Poblet",890
"945",945,43177,"Vinebre",425
"946",946,43178,"Vinyols i els Arcs",2124
"947",947,43052,"Xerta",1154
