Municipios;Sexo;Periodo;Total
25185 Ribera d'Urgellet;Total;2020;932
25186 Riner;Total;2020;263
25913 Riu de Cerdanya;Total;2020;93
25189 Rosselló;Total;2020;3.237
25190 Salàs de Pallars;Total;2020;327
25191 Sanaüja;Total;2020;379
25196 Sant Esteve de la Sarga;Total;2020;122
25192 Sant Guim de Freixenet;Total;2020;1.037
25197 Sant Guim de la Plana;Total;2020;181
25193 Sant Llorenç de Morunys;Total;2020;960
25902 Sant Martí de Riucorb;Total;2020;639
25194 Sant Ramon;Total;2020;487
25201 Sarroca de Bellera;Total;2020;116
25200 Sarroca de Lleida;Total;2020;358
25202 Senterada;Total;2020;139
25035 Sentiu de Sió, La;Total;2020;414
25204 Seròs;Total;2020;1.946
25203 Seu d'Urgell, La;Total;2020;12.206
25205 Sidamon;Total;2020;748
25206 Soleràs, El;Total;2020;332
25207 Solsona;Total;2020;9.137
25208 Soriguera;Total;2020;420
25209 Sort;Total;2020;2.154
25210 Soses;Total;2020;1.761
25211 Sudanell;Total;2020;840
25212 Sunyer;Total;2020;343
25215 Talarn;Total;2020;595
25216 Talavera;Total;2020;279
25217 Tàrrega;Total;2020;17.445
25218 Tarrés;Total;2020;102
25219 Tarroja de Segarra;Total;2020;188
25220 Térmens;Total;2020;1.360
25221 Tírvia;Total;2020;134
25222 Tiurana;Total;2020;77
25223 Torà;Total;2020;1.237
25224 Torms, Els;Total;2020;138
25225 Tornabous;Total;2020;822
25227 Torre de Cabdella, La;Total;2020;759
25226 Torrebesses;Total;2020;267
25228 Torrefarrera;Total;2020;4.694
25907 Torrefeta i Florejacs;Total;2020;607
25230 Torregrossa;Total;2020;2.179
25231 Torrelameu;Total;2020;735
25232 Torres de Segre;Total;2020;2.366
25233 Torre-serona;Total;2020;398
25234 Tremp;Total;2020;5.911
25043 Vall de Boí, La;Total;2020;1.019
25901 Vall de Cardós;Total;2020;350
25238 Vallbona de les Monges;Total;2020;243
25240 Vallfogona de Balaguer;Total;2020;1.906
25906 Valls d'Aguilar, Les;Total;2020;245
25239 Valls de Valira, Les;Total;2020;784
25909 Vansa i Fórnols, La;Total;2020;149
25242 Verdú;Total;2020;902
25243 Vielha e Mijaran;Total;2020;5.611
25244 Vilagrassa;Total;2020;560
25245 Vilaller;Total;2020;549
25247 Vilamòs;Total;2020;178
25248 Vilanova de Bellpuig;Total;2020;1.183
25254 Vilanova de la Barca;Total;2020;1.088
25249 Vilanova de l'Aguda;Total;2020;200
25250 Vilanova de Meià;Total;2020;415
25251 Vilanova de Segrià;Total;2020;985
25252 Vila-sana;Total;2020;734
25253 Vilosell, El;Total;2020;173
25255 Vinaixa;Total;2020;450
