"","house.price","RP","crime","built.area","age","retired","children","immigrants","shopping","historical","baths","type.house","floor","good.cond","garage","elevator","air.cond","swimming.pool","M.30","longitude","latitude"
"4279",3852,0.33,0.76,135,30,18.6782268954326,13.431372167504,17.8368933701206,1,1,2,"piso","ZZZ","bueno","no","si","si","no",1,-3.703898,40.412782
"453",3714,0.11,0.28,70,25,21.8191401950297,11.6618606886501,13.9478008774786,0,0,1,"piso","cuar.-quinta","bueno","ZZZ","si","si","no",0,-3.767259,40.379849
"10878",4780,0.42,0.31,126,7.5,15.6252175325429,15.5469058171102,7.53242685105692,1,0,2,"piso","seg.-terc.","bueno","si","si","si","si",0,-3.655121,40.49657
"3894",8261,0.21,0.28,230,30,16.2444144382421,8.89722566365522,18.5726018625499,1,1,3,"chalet","bajo","a_reformar","si","no","no","no",0,-3.678746,40.446686
"6740",3246,0.24,0.45,134,40,22.22093651161,13.0862840391885,7.95629869628944,0,0,2,"piso","seg.-terc.","bueno","no","si","si","no",0,-3.651069,40.403518
"4211",2232,0.33,0.76,112,27.5174425554198,18.6782268954326,13.431372167504,17.8368933701206,1,1,1,"piso","seg.-terc.","bueno","no","no","si","no",1,-3.708159,40.411548
"1541",2872,0.2,0.35,94,15,18.6782268954326,13.431372167504,17.8368933701206,0,0,2,"piso","seg.-terc.","bueno","no","si","no","si",0,-3.753633,40.367016
"5511",5060,0.27,0.37,50,40,21.3085529446878,11.4343101904508,6.06361267736289,1,1,1,"piso","primera","bueno","ZZZ","si","si","ZZZ",0,-3.676995,40.415599
"10377",4717,0.31,0.35,212,30,22.7526510007271,10.208239022182,9.66020549542505,1,1,3,"piso","cuar.-quinta","a_reformar","si","si","no","no",1,-3.699796,40.438798
"5461",4286,0.31,0.33,98,26.3900421925078,16.4637662379734,12.4059736305031,12.0677702549483,1,1,2,"piso","sexta_o_mas","bueno","si","si","si","no",0,-3.71973,40.408578
"4457",4286,0.22,0.62,63,40,17.5324251570275,14.0851619218533,15.6513581858227,0,0,1,"piso","seg.-terc.","a_reformar","no","no","no","no",0,-3.671665,40.380846
"4810",4688,0.31,0.57,96,40,22.7526510007271,10.208239022182,9.66020549542505,1,1,2,"atico","sexta_o_mas","a_reformar","no","si","no","no",1,-3.714409,40.440023
"4339",1700,0.22,0.62,100,35,17.5324251570275,14.0851619218533,15.6513581858227,0,0,2,"chalet","ZZZ","bueno","ZZZ","no","no","no",0,-3.671665,40.37859
"4801",4673,0.08,0.15,107,0,19.5566137701235,11.1810440577564,17.5599075693549,0,0,2,"piso","primera","bueno","no","si","no","no",0,-3.7398576,40.481573
"7349",3900,0.31,0.56,50,40,17.5324251570275,14.0851619218533,15.6513581858227,0,0,1,"piso","seg.-terc.","a_reformar","si","no","si","no",0,-3.660421,40.394215
"7771",2900,0.18,0.32,50,27.3478993455396,16.9485824548359,14.2042185577595,7.08064473299875,0,0,1,"piso","ZZZ","bueno","no","si","no","no",0,-3.704692,40.477791
"9448",3182,0.39,0.73,88,0,16.5594715715936,15.4340900438799,18.1236517127839,0,0,1,"piso","ZZZ","bueno","si","si","no","no",0,-3.711666,40.342444
