92,CATALUÑA,C-17,REASFALTADO,2021/02/01 12:22:00,\"\",B,VERDE,32.5,24.0,CAN QUANA,BARCELONA,OB102018225,AMBOS SENTIDOS,OBRAS,0,1,41.6387437,id-incidencia-1.92,incidencia,\"\",\"\",2.2670958,2.2670958,41.6387437,2021/02/05 14:30:00
93,CATALUÑA,C-15,TRABAJOS DE MANTENIMIENTO,2021/02/01 10:31:00,VILANOVA I LA GELTRÚ,B,VERDE,3.0,6.0,CANYELLES,BARCELONA,OB102019190,SUR,OBRAS,0,1,41.2780682,id-incidencia-1.93,incidencia,\"\",\"\",1.7302843,1.7302843,41.2780682,2021/02/05 14:30:00
94,CATALUÑA,C-245,TRABAJOS DE MANTENIMIENTO,2021/02/03 10:10:00,\"\",B,VERDE,13.0,0.0,CASTELLDEFELS,BARCELONA,OB010109026,AMBOS SENTIDOS,OBRAS,0,4,41.270668,id-incidencia-1.94,incidencia,\"\",\"\",1.96774,1.96774,41.270668,2021/02/05 14:30:00
95,CATALUÑA,C-32,OBRAS EN GENERAL,2021/02/05 09:46:00,SITGES,B,VERDE,44.0,45.0,CASTELLDEFELS,BARCELONA,OB102058156,SUR,OBRAS,0,1,41.2710032,id-incidencia-1.95,incidencia,\"\",\"\",1.9693485,1.9693485,41.2710032,2021/02/05 14:30:00
96,CATALUÑA,B-20,\"\",2019/10/31 18:35:00,TARRAGONA-HORARI: 22 A 6 H,B,NEGRO,3.0,2.5,CORNELLÀ DE LLOBREGAT,BARCELONA,OB906170137,SUR,OBRAS,0,32,41.34259,id-incidencia-1.96,incidencia,\"\",\"\",2.09063,2.09063,41.34259,2021/02/05 14:30:00
97,CATALUÑA,C-31,TRABAJOS DE MANTENIMIENTO,2021/02/02 22:09:00,BARCELONA,B,VERDE,192.2,192.5,\"\",BARCELONA,OB102039163,NORTE,OBRAS,0,1,41.32343,id-incidencia-1.97,incidencia,\"\",\"\",2.07288,2.07288,41.32343,2021/02/05 14:30:00
98,CATALUÑA,C-31,TRABAJOS DE MANTENIMIENTO,2021/02/01 12:24:00,\"\",B,VERDE,197.3,192.5,\"\",BARCELONA,OB102019211,AMBOS SENTIDOS,OBRAS,0,1,41.32343,id-incidencia-1.98,incidencia,\"\",\"\",2.07288,2.07288,41.32343,2021/02/05 14:30:00
99,CATALUÑA,C-31,TRABAJOS DE MANTENIMIENTO,2021/02/01 12:31:00,CASTELLDEFELS,B,VERDE,192.5,192.2,\"\",BARCELONA,OB102018227,SUR,OBRAS,0,1,41.32343,id-incidencia-1.99,incidencia,\"\",\"\",2.07288,2.07288,41.32343,2021/02/05 14:30:00
100,CATALUÑA,BV-5101,TRABAJOS DE MANTENIMIENTO,2021/02/01 09:57:00,\"\",B,VERDE,4.4,0.9,DOSRIUS,BARCELONA,OB101118107,AMBOS SENTIDOS,OBRAS,0,2,41.59681,id-incidencia-1.100,incidencia,\"\",\"\",2.4378762,2.4378762,41.59681,2021/02/05 14:30:00
101,CATALUÑA,BV-5122,OBRAS EN GENERAL,2021/02/01 09:58:00,\"\",B,VERDE,6.2,4.2,FOGARS DE LA SELVA,BARCELONA,OB012158133,AMBOS SENTIDOS,OBRAS,0,2,41.7173966,id-incidencia-1.101,incidencia,\"\",\"\",2.678158,2.678158,41.7173966,2021/02/05 14:30:00
